agentType,gamemode,score,deepestRoom,finalHP,performance,seed
random,e,-125,9,-3,29,3457976659027900111
random,e,-167,5,-9,14,5782284624631636301
random,e,-163,4,-11,16,9026747535600715712
random,e,-154,5,-5,19,1138750001679538187
random,e,-185,2,0,8,3183785927674541802
random,e,-142,6,-6,23,7058304440008331058
random,e,-182,2,-3,9,4965920535636394234
random,e,-94,9,0,41,4160900759113619141
random,e,-178,2,0,10,368771754418697083
random,e,-188,1,-4,7,5486460098145656780
random,e,-188,1,0,7,7916409831714349244
random,e,-186,3,-2,7,8473217036373515439
random,e,-174,2,-7,12,4363426252693993863
random,e,-118,7,-8,32,1824529204989176313
random,e,-142,6,-2,23,5361696713919838572
random,e,-188,1,-5,7,1939446066670116668
random,e,-186,2,0,7,6269537646054544811
random,e,-165,4,-9,15,5947974915640333682
random,e,-151,5,-3,20,5646819763459469991
random,e,-131,5,-6,27,4315292527583288583
random,e,-130,8,-4,28,3597936166007918503
random,e,-171,5,-11,13,784861405764219533
random,e,-188,1,-4,7,7724087758608080794
random,e,-101,9,-9,38,3551123169567915996
random,e,-183,2,-7,8,1762078651651435066
random,e,-158,4,-5,17,947181400768144807
random,e,-188,1,-3,7,900438874872000327
random,e,-185,1,-3,8,5454249334426668451
random,e,-117,6,-8,32,9179195821491779900
random,e,-175,2,-7,11,2359597086882763878
random,e,-110,8,-8,35,2141227937772904706
random,e,-179,3,-10,10,5447595504267221541
random,e,-131,9,-3,27,1703445426693932253
random,e,-100,9,-8,38,3813984068656075718
random,e,-172,3,-6,12,1234865581171621042
random,e,-188,2,-2,7,1530917267351710794
random,e,-145,5,-5,22,146271210222793156
random,e,-182,2,-5,9,3223062901783829023
random,e,-81,12,-3,45,9150168386800062220
random,e,-184,3,-9,8,7127556129779729482
random,e,-175,2,-1,11,7924898568729103530
random,e,-180,2,-10,10,685051841783862909
random,e,-179,2,-6,10,8868483014821874433
random,e,-188,1,-12,7,7485481649071515512
random,e,-171,3,-3,13,1736617145032265873
random,e,-141,6,0,24,3783043730131313205
random,e,-163,6,-10,16,7931186289597279246
random,e,-164,5,-6,15,6791753951172114460
random,e,-171,3,-5,13,1100924082680334101
random,e,-175,3,-5,11,6747024745726610291
random,e,-158,5,0,17,1933712130976876960
random,e,-169,4,0,14,106979529509449684
random,e,-166,3,0,15,2004845443399033118
random,e,-109,7,-1,35,3017210850201529787
random,e,-131,5,-5,27,7053503929874287271
random,e,-170,4,-12,13,5599505762140458285
random,e,-139,8,-8,24,3356932091962538551
random,e,-168,2,-6,14,394400101092034550
random,e,-166,4,-3,15,9223130493276563175
random,e,-188,1,-4,7,8036289539328646741
random,e,-180,3,-5,10,2483418828080726866
random,e,-118,9,-1,32,900375509585279049
random,e,-134,8,-2,26,2508774811765381913
random,e,-182,2,0,9,3921075295902570082
random,e,-98,11,-2,39,5153441063160349673
random,e,-180,2,0,10,4913386248200625207
random,e,-152,4,-1,20,1610962213899999356
random,e,-181,2,-1,9,7445165175209602943
random,e,-115,8,-9,33,5099493326207407534
random,e,-168,1,-3,14,5953794772749697095
random,e,-169,4,-1,14,4859795063375354044
random,e,-159,5,-10,17,890889677617594595
random,e,-177,1,-2,11,2872138213816433376
random,e,-188,1,-2,7,5065525961007818635
random,e,-137,5,-8,25,11109177441531292
random,e,-165,6,-2,15,2890687372408990598
random,e,-151,5,-5,20,2099015252613304828
random,e,-164,2,-3,15,2473080949132171053
random,e,-115,8,0,33,2989963787292316405
random,e,-138,7,-5,25,7683101128314212131
random,e,-182,1,-1,9,5827690281914462923
random,e,-159,3,-2,17,5654020356438579871
random,e,-138,7,0,25,6411168047746193959
random,e,-177,3,-1,11,7424540375464541499
random,e,-135,7,0,26,8325144399642575860
random,e,-174,3,-3,12,5826447713027131540
random,e,-177,4,-4,11,6405389518610659874
random,e,-156,5,-10,18,6800669994139662844
random,e,-108,10,-7,35,4943970708217862551
random,e,-179,2,-2,10,5100720107513655168
random,e,-188,1,-1,7,2208592765360946589
random,e,-134,7,-1,26,7256299864601267086
random,e,-158,4,-3,17,9079445469333778409
random,e,-156,6,-7,18,6583288855786708580
random,e,-182,2,-9,9,9137838929966260347
random,e,-118,8,-4,32,4986434637848057975
random,e,-149,5,-6,21,8073641795822385550
random,e,-178,2,-6,10,5621269338958685031
random,e,-157,4,-5,18,7078967432902229037
random,e,-175,2,-5,11,2755852450188259704
random,e,-66,13,-3,51,6134247808016225973
random,e,-188,1,-9,7,3580336856126994344
random,e,-145,9,-2,22,2281515914002179966
random,e,-178,5,-6,10,3860027336500681915
random,e,-170,1,0,13,2885072705328029002
random,e,-160,6,-6,17,2208778104141024959
random,e,-176,4,-1,11,1125782838643120307
random,e,-186,1,-4,7,5472495525552896165
random,e,-129,6,-5,28,9101130664972397996
random,e,-142,6,-7,23,3692501792159501044
random,e,-136,6,-13,25,2195068975779970417
random,e,-178,1,0,10,7365190989950246608
random,e,-181,3,-8,9,6310876831740076323
random,e,-176,2,-7,11,5068559725461995036
random,e,-188,1,-2,7,2714020803797477170
random,e,-125,7,-2,29,7594570643395363699
random,e,-153,6,-1,19,900500318915579004
random,e,-103,8,-1,37,2998946637646548032
random,e,-146,5,-1,22,8150630778815151809
random,e,-127,9,-2,29,948636697535668656
random,e,-128,8,-5,28,661433213371505757
random,e,-169,3,-7,14,426152804072985072
random,e,-182,1,-1,9,6250467895689064162
random,e,-129,7,0,28,7930658779275483416
random,e,-179,3,-7,10,139931637702220649
random,e,-160,4,-9,17,1559254051532695344
random,e,-188,1,-1,7,6934914366691008204
random,e,-145,4,-1,22,2294692908409697802
random,e,-119,9,-1,32,8669747049964855810
random,e,-167,4,-7,14,8780116721043355255
random,e,-188,2,-10,7,3069239353384408268
random,e,-140,7,-3,24,5637677022019471475
random,e,-154,5,-1,19,6422883693123311513
random,e,-137,5,-6,25,1293754695048556843
random,e,-185,2,-6,8,3595655781419943908
random,e,-123,5,-4,30,1024152243142132268
random,e,-132,6,-1,27,7968824740618220784
random,e,-179,2,-4,10,3074774260882312409
random,e,-159,6,0,17,8473041506430152284
random,e,-175,1,0,11,6743715478884432576
random,e,-160,6,-5,17,9086687041561342429
random,e,-70,11,-5,49,2230083737959647509
random,e,-186,2,-3,7,1531693031245488773
random,e,-181,2,-2,9,1026174747326513733
random,e,-171,3,-7,13,7013397061584611646
random,e,-172,4,-4,12,3029683196870288407
random,e,-163,4,-5,16,55686282662865592
random,e,-177,3,-6,11,2492857039852384049
random,e,-174,3,-1,12,1186048295377157110
random,e,-133,7,-2,26,7613210776579147775
random,e,-164,4,0,15,6559097093013445611
random,e,-140,8,-4,24,7513967866815546475
random,e,-168,3,-5,14,2674717136713310956
random,e,-114,10,-8,33,5310052882285326341
random,e,-176,4,0,11,1703809570523130504
random,e,-161,4,-3,16,3215206207841985739
random,e,-125,6,-1,29,4383761556394630868
random,e,-188,1,-3,7,3680999913629094759
random,e,-166,2,-5,15,5298120634297449473
random,e,-119,9,0,32,9144693883780953119
random,e,-179,3,-1,10,4840955995603274393
random,e,-175,2,-2,11,8746700870244873735
random,e,-169,2,-8,14,3440526045985894090
random,e,-145,7,-6,22,6506403595336700657
random,e,-170,3,-2,13,4790932176981783469
random,e,-141,9,0,24,7931922096007303963
random,e,-157,4,-13,18,1831309117714063705
random,e,-142,7,-2,23,4509746962102689647
random,e,-175,2,-2,11,2716401031119879491
random,e,-167,2,-6,14,2120476804853406145
random,e,-159,7,-8,17,1346457704875376431
random,e,-176,3,-3,11,3994641000735122309
random,e,-182,2,0,9,7775265744307481902
random,e,-172,3,-1,12,7766218189044546670
random,e,-153,4,-1,19,3037980370402637793
random,e,-188,1,-8,7,2913189069612624002
random,e,-156,5,-3,18,6308627198018752605
random,e,-147,5,0,21,6899117702021917302
random,e,-182,3,-3,9,2558202672717999774
random,e,-148,4,-3,21,8642989610061902886
random,e,-170,4,0,13,6145090562578698872
random,e,-182,2,-4,9,7086601096195937930
random,e,-146,6,-4,22,7922892618506179631
random,e,-177,3,-8,11,4629203825111209533
random,e,-168,4,0,14,3109563850299837672
random,e,-167,3,-9,14,6717033978207917019
random,e,-116,10,-4,33,3192799906133831048
random,e,-166,2,-2,15,9152879967051500843
random,e,-184,2,-4,8,6162785286463586063
random,e,-142,5,-1,23,4408448061450019440
random,e,-188,2,-11,7,8652521432301516976
random,e,-172,3,-4,12,4115045139884212388
random,e,-173,2,-3,12,3867809188076442490
random,e,-159,5,-9,17,810007936823177329
random,e,-180,2,0,10,3191250498187652906
random,e,-165,3,0,15,3344050215136929217
random,e,-125,9,-6,29,305209231665004236
random,e,-144,6,0,23,6452094666063783949
random,e,-182,2,-3,9,8676044000799551309
random,e,-162,3,0,16,6017953767204315133
random,e,-170,3,-5,13,8577236399089761848
random,e,-166,3,-5,15,5171567390509188337
random,e,-115,9,-2,33,2610215597898006642
random,e,-167,4,-8,14,1646960168989891242
random,e,-177,1,-3,11,4084639693191247461
random,e,-160,3,-1,17,1865135695211713846
random,e,-165,4,-6,15,1189442127995852488
random,e,-176,3,-10,11,5198329594280581748
random,e,-169,2,-2,14,1288072373604453042
random,e,-96,8,-3,40,5764195146020825961
random,e,-169,3,-9,14,8275805989943719531
random,e,-173,3,-10,12,4633680785341839703
random,e,-104,11,-1,37,1928062950645571166
random,e,-185,1,-4,8,970391008955399812
random,e,-128,9,-5,28,5783349797339363997
random,e,-186,2,-7,7,3451070339582077779
random,e,-147,6,-6,21,2745106365528665196
random,e,-176,2,-1,11,2518637358934749687
random,e,-174,1,-2,12,1222013417015115975
random,e,-183,1,-1,8,3239794064225047893
random,e,-139,7,-1,24,2383188643533264189
random,e,-188,1,-4,7,1550661502643161186
random,e,-156,4,-5,18,1748763955749911969
random,e,-150,4,-3,20,8163434157232283358
random,e,-178,3,-11,10,3624929492854448105
random,e,-180,3,-4,10,5322260631451363101
random,e,-164,3,-4,15,1711816689355389967
random,e,-170,3,-9,13,8767385267416251972
random,e,-151,5,-6,20,1693099221383565215
random,e,-185,1,-6,8,7283050627616535222
random,e,-166,4,-10,15,8255040634300834251
random,e,-115,9,-11,33,4325073349671328550
random,e,-169,3,-11,14,6259799332927054194
random,e,-146,6,-1,22,4312702577596213075
random,e,-185,2,-5,8,8736337588154749264
random,e,-182,2,-4,9,1574968944138403468
random,e,-188,1,-8,7,3528351900066179563
random,e,-111,9,-7,34,3470825135680357717
random,e,-152,6,-8,20,3677912600128960547
random,e,-167,3,-9,14,4466722053995051037
random,e,-171,3,-10,13,8650094748395799629
random,e,-182,3,-9,9,1657213809591737475
random,e,-182,2,-5,9,2977802698332607606
random,e,-147,5,-10,21,6073939868021989535
random,e,-188,2,-1,7,6522531404782795766
