agentType,gamemode,score,deepestRoom,finalHP,performance,seed
greedy,e,-70,13,-7,49,7509858125444444711
greedy,e,-100,11,-6,38,6123101372151801189
greedy,e,-127,5,-5,29,6359660639879375888
greedy,e,-138,6,-1,25,6641754791322735304
greedy,e,-178,1,-5,10,8020899170263483858
greedy,e,-116,11,-1,33,2519907626295995748
greedy,e,-124,8,0,30,8719761572572685656
greedy,e,-78,13,-12,46,5908682011677557297
greedy,e,-57,15,-10,54,4530227005990585964
greedy,e,-89,11,0,42,3549412241010450716
greedy,e,-138,5,-10,25,3452866502258882910
greedy,e,-114,11,-10,33,4013357868976495418
greedy,e,-81,13,-6,45,8115999402446000433
greedy,e,-70,13,-3,49,1779043150001690907
greedy,e,-105,12,-9,37,717829847562725813
greedy,e,-181,2,-8,9,4886591404570371930
greedy,e,-68,14,-6,50,3955354347028004815
greedy,e,-140,5,-5,24,5322567158447769166
greedy,e,-8,18,-8,71,5717273143547588246
greedy,e,-158,2,-3,17,7554953448963064306
greedy,e,-188,1,-2,7,7375882337687037332
greedy,e,-15,17,-2,69,5688188125142448435
greedy,e,-154,4,0,19,1973530061602331136
greedy,e,-188,1,-9,7,6727036345349245422
greedy,e,-48,16,-4,57,618729685918957346
greedy,e,-49,16,-11,57,395725152903637973
greedy,e,-92,10,-5,41,2012759211016278432
greedy,e,-113,9,-2,34,3908575279623327865
greedy,e,-172,3,-5,12,7496657336619348012
greedy,e,-93,12,-6,41,7962535936029099465
greedy,e,-183,2,-10,8,8961421717500591463
greedy,e,-108,10,-12,35,6858693609849641947
greedy,e,-94,13,-4,41,2463321382180883180
greedy,e,-166,1,-7,15,2224814936340320294
greedy,e,-158,4,-7,17,6251976528265658964
greedy,e,-120,11,-5,31,6422266263981499212
greedy,e,-188,1,0,7,8876434644189229688
greedy,e,-179,2,-3,10,4414606740406223583
greedy,e,-166,6,0,15,2434551090635891478
greedy,e,-177,2,-13,11,2193512015013118215
greedy,e,-185,1,-3,8,8609258629273767400
greedy,e,-125,10,-9,29,5702062509124037780
greedy,e,-146,4,-9,22,7820344645020513305
greedy,e,-156,3,-3,18,5946217300285486823
